year,AS-RCEC_TaiESM1_r1i1p1f1_co2mass_1pctCO2,AS-RCEC_TaiESM1_r1i1p1f1_co2mass_abrupt-4xCO2,CNRM-CERFACS_CNRM-CM6-1-HR_r1i1p1f2_co2mass_1pctCO2,CNRM-CERFACS_CNRM-CM6-1-HR_r1i1p1f2_co2mass_abrupt-4xCO2,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2_co2mass_1pctCO2,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2_co2mass_abrupt-4xCO2,CNRM-CERFACS_CNRM-CM6-1_r2i1p1f2_co2mass_abrupt-4xCO2,CNRM-CERFACS_CNRM-CM6-1_r3i1p1f2_co2mass_abrupt-4xCO2,CNRM-CERFACS_CNRM-CM6-1_r4i1p1f2_co2mass_abrupt-4xCO2,CNRM-CERFACS_CNRM-CM6-1_r5i1p1f2_co2mass_abrupt-4xCO2,CNRM-CERFACS_CNRM-CM6-1_r6i1p1f2_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r1i1p1f1_co2mass_1pctCO2,IPSL_IPSL-CM6A-LR_r10i1p1f1_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r11i1p1f1_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r12i1p1f1_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r1i1p1f1_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r2i1p1f1_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r3i1p1f1_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r4i1p1f1_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r5i1p1f1_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r6i1p1f1_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r7i1p1f1_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r8i1p1f1_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r9i1p1f1_co2mass_abrupt-4xCO2,MOHC_UKESM1-0-LL_r1i1p1f2_co2mass_1pctCO2,MOHC_UKESM1-0-LL_r2i1p1f2_co2mass_1pctCO2,MOHC_UKESM1-0-LL_r3i1p1f2_co2mass_1pctCO2,MOHC_UKESM1-0-LL_r4i1p1f2_co2mass_1pctCO2,MPI-M_MPI-ESM1-2-HR_r1i1p1f1_co2mass_1pctCO2,MPI-M_MPI-ESM1-2-HR_r1i1p1f1_co2mass_abrupt-4xCO2,MPI-M_MPI-ESM1-2-LR_r1i1p1f1_co2mass_1pctCO2,MPI-M_MPI-ESM1-2-LR_r1i1p1f1_co2mass_abrupt-4xCO2,NCAR_CESM2-FV2_r1i1p1f1_co2mass_1pctCO2,NCAR_CESM2-WACCM-FV2_r1i1p1f1_co2mass_1pctCO2,NCAR_CESM2-WACCM_r1i1p1f1_co2mass_1pctCO2,NCAR_CESM2-WACCM_r1i1p1f1_co2mass_abrupt-4xCO2,NCAR_CESM2_r1i1p1f1_co2mass_1pctCO2,NCAR_CESM2_r1i1p1f1_co2mass_abrupt-4xCO2,NCC_NorCPM1_r1i1p1f1_co2mass_1pctCO2,NCC_NorCPM1_r1i1p1f1_co2mass_abrupt-4xCO2,NCC_NorESM2-LM_r1i1p1f1_co2mass_1pctCO2,NCC_NorESM2-LM_r1i1p1f1_co2mass_abrupt-4xCO2,NCC_NorESM2-MM_r1i1p1f1_co2mass_1pctCO2,NCC_NorESM2-MM_r1i1p1f1_co2mass_abrupt-4xCO2,NOAA-GFDL_GFDL-CM4_r1i1p1f1_co2mass_1pctCO2,NOAA-GFDL_GFDL-ESM4_r1i1p1f1_co2mass_1pctCO2,NOAA-GFDL_GFDL-ESM4_r1i1p1f1_co2mass_abrupt-4xCO2,SNU_SAM0-UNICON_r1i1p1f1_co2mass_1pctCO2,SNU_SAM0-UNICON_r1i1p1f1_co2mass_abrupt-4xCO2
11,1614306800000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2456978200000000.0,2457948000000000.0,2457948300000000.0,8893339700000000.0,2456978200000000.0,8905333000000000.0,1614306800000000.0,5814487000000000.0,1606330500000000.0,5822155000000000.0,1606330500000000.0,5822155000000000.0,2458268800000000.0,2422328000000000.0,8796195600000000.0,,
12,1630449700000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2481547000000000.0,2482550000000000.0,2482550200000000.0,8893339700000000.0,2481547000000000.0,8905333000000000.0,1630449700000000.0,5814487000000000.0,1622393300000000.0,5822155000000000.0,1622393300000000.0,5822155000000000.0,2482821300000000.0,2451469000000000.0,8777149500000000.0,,
13,1646754200000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2506362000000000.0,2507399000000000.0,2507399000000000.0,8893339700000000.0,2506362000000000.0,8905333000000000.0,1646754200000000.0,5814487000000000.0,1638617000000000.0,5822155000000000.0,1638617000000000.0,5822155000000000.0,2507670600000000.0,2470014500000000.0,8786753000000000.0,,
14,1663221900000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2531426000000000.0,2532473000000000.0,2532473000000000.0,8893339700000000.0,2531426000000000.0,8905333000000000.0,1663221900000000.0,5814487000000000.0,1655003500000000.0,5822155000000000.0,1655003500000000.0,5822155000000000.0,2532701700000000.0,2489480400000000.0,8802522600000000.0,,
15,1679854000000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2556741100000000.0,2557750500000000.0,2557750500000000.0,8893339700000000.0,2556741100000000.0,8905333000000000.0,1679854000000000.0,5814487000000000.0,1671554000000000.0,5822155000000000.0,1671554000000000.0,5822155000000000.0,2558035000000000.0,2514836500000000.0,8806465400000000.0,,
16,1696652700000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2582309000000000.0,2583351700000000.0,2583351700000000.0,8893339700000000.0,2582309000000000.0,8905333000000000.0,1696652700000000.0,5814487000000000.0,1688269600000000.0,5822155000000000.0,1688269600000000.0,5822155000000000.0,2583582300000000.0,2542906500000000.0,8791651500000000.0,,
17,1713619100000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2608131500000000.0,2609209300000000.0,2609209300000000.0,8893339700000000.0,2608131500000000.0,8905333000000000.0,1713619100000000.0,5814487000000000.0,1705152100000000.0,5822155000000000.0,1705152100000000.0,5822155000000000.0,2609527000000000.0,2575463700000000.0,8791867000000000.0,,
18,1730755300000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2634212000000000.0,2635301500000000.0,2635301500000000.0,8893339700000000.0,2634212000000000.0,8905333000000000.0,1730755300000000.0,5814487000000000.0,1722202800000000.0,5822155000000000.0,1722202800000000.0,5822155000000000.0,2635741700000000.0,2593597600000000.0,8798706500000000.0,,
19,1748062800000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2660554000000000.0,2661605500000000.0,2661605200000000.0,8893339700000000.0,2660554000000000.0,8905333000000000.0,1748062800000000.0,5814487000000000.0,1739425100000000.0,5822155000000000.0,1739425100000000.0,5822155000000000.0,2661878700000000.0,2615367500000000.0,8805658000000000.0,,
20,1765543600000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2687160000000000.0,2688246000000000.0,2688245800000000.0,8893339700000000.0,2687160000000000.0,8905333000000000.0,1765543600000000.0,5814487000000000.0,1756819500000000.0,5822155000000000.0,1756819500000000.0,5822155000000000.0,2688602300000000.0,2638722000000000.0,8798561000000000.0,,
21,1783199000000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2714032500000000.0,2715153800000000.0,2715153500000000.0,8893339700000000.0,2714032500000000.0,8905333000000000.0,1783199000000000.0,5814487000000000.0,1774388300000000.0,5822155000000000.0,1774388300000000.0,5822155000000000.0,2715533600000000.0,2662897400000000.0,8804362400000000.0,,
22,1801031000000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2741170800000000.0,2742305200000000.0,2742305200000000.0,8893339700000000.0,2741170800000000.0,8905333000000000.0,1801031000000000.0,5814487000000000.0,1792131000000000.0,5822155000000000.0,1792131000000000.0,5822155000000000.0,2742680000000000.0,2694433000000000.0,8812211500000000.0,,
23,1819041200000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2768583000000000.0,2769677000000000.0,2769677000000000.0,8893339700000000.0,2768583000000000.0,8905333000000000.0,1819041200000000.0,5814487000000000.0,1810052600000000.0,5822155000000000.0,1810052600000000.0,5822155000000000.0,2770105700000000.0,2721003800000000.0,8822309500000000.0,,
24,1837231500000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2796269900000000.0,2797399700000000.0,2797399400000000.0,8893339700000000.0,2796269900000000.0,8905333000000000.0,1837231500000000.0,5814487000000000.0,1828153900000000.0,5822155000000000.0,1828153900000000.0,5822155000000000.0,2797829700000000.0,2748195000000000.0,8810861000000000.0,,
25,1855604100000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2824231700000000.0,2825399700000000.0,2825399700000000.0,8893339700000000.0,2824231700000000.0,8905333000000000.0,1855604100000000.0,5814487000000000.0,1846434900000000.0,5822155000000000.0,1846434900000000.0,5822155000000000.0,2825751900000000.0,2774567400000000.0,8813611700000000.0,,
26,1874160000000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2852474600000000.0,2853653800000000.0,2853653800000000.0,8893339700000000.0,2852474600000000.0,8905333000000000.0,1874160000000000.0,5814487000000000.0,1864899500000000.0,5822155000000000.0,1864899500000000.0,5822155000000000.0,2854049500000000.0,2798124800000000.0,8816195000000000.0,,
27,1892901600000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2880998600000000.0,2882137300000000.0,2882137000000000.0,8893339700000000.0,2880998600000000.0,8905333000000000.0,1892901600000000.0,5814487000000000.0,1883547800000000.0,5822155000000000.0,1883547800000000.0,5822155000000000.0,2882568600000000.0,2824564000000000.0,8818299600000000.0,,
28,1911830600000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2909809500000000.0,2910985500000000.0,2910985500000000.0,8893339700000000.0,2909809500000000.0,8905333000000000.0,1911830600000000.0,5814487000000000.0,1902383800000000.0,5822155000000000.0,1902383800000000.0,5822155000000000.0,2911436200000000.0,2856283000000000.0,8811723000000000.0,,
29,1930949000000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2938908400000000.0,2940122300000000.0,2940122300000000.0,8893339700000000.0,2938908400000000.0,8905333000000000.0,1930949000000000.0,5814487000000000.0,1921408200000000.0,5822155000000000.0,1921408200000000.0,5822155000000000.0,2940609200000000.0,2885682800000000.0,8814681000000000.0,,
30,1950258300000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2968295000000000.0,2969523500000000.0,2969523500000000.0,8893339700000000.0,2968295000000000.0,8905333000000000.0,1950258300000000.0,5814487000000000.0,1940620800000000.0,5822155000000000.0,1940620800000000.0,5822155000000000.0,2969992200000000.0,2912981300000000.0,8814222600000000.0,,
31,1969761000000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2997978400000000.0,2999163000000000.0,2999163000000000.0,8893339700000000.0,2997978400000000.0,8905333000000000.0,1969761000000000.0,5814487000000000.0,1960027500000000.0,5822155000000000.0,1960027500000000.0,5822155000000000.0,2999802500000000.0,2938675000000000.0,8808892600000000.0,,
32,1989458800000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3027960300000000.0,3029183300000000.0,3029182700000000.0,8893339700000000.0,3027960300000000.0,8905333000000000.0,1989458800000000.0,5814487000000000.0,1979629000000000.0,5822155000000000.0,1979629000000000.0,5822155000000000.0,3029747200000000.0,2976204000000000.0,8809282300000000.0,,
33,2009353100000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3058239000000000.0,3059503000000000.0,3059503000000000.0,8893339700000000.0,3058239000000000.0,8905333000000000.0,2009353100000000.0,5814487000000000.0,1999424400000000.0,5822155000000000.0,1999424400000000.0,5822155000000000.0,3060090400000000.0,2999525400000000.0,8829857400000000.0,,
34,2029446700000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3088821600000000.0,3090098000000000.0,3090098000000000.0,8893339700000000.0,3088821600000000.0,8905333000000000.0,2029446700000000.0,5814487000000000.0,2019419000000000.0,5822155000000000.0,2019419000000000.0,5822155000000000.0,3090661400000000.0,3024965000000000.0,8824605000000000.0,,
35,2049741300000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3119710400000000.0,3120941500000000.0,3120941500000000.0,8893339700000000.0,3119710400000000.0,8905333000000000.0,2049741300000000.0,5814487000000000.0,2039613800000000.0,5822155000000000.0,2039613800000000.0,5822155000000000.0,3121576900000000.0,3066489300000000.0,8836731500000000.0,,
36,2070238500000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3150907500000000.0,3152180400000000.0,3152179800000000.0,8893339700000000.0,3150907500000000.0,8905333000000000.0,2070238500000000.0,5814487000000000.0,2060009800000000.0,5822155000000000.0,2060009800000000.0,5822155000000000.0,3152804200000000.0,3100710000000000.0,8825456000000000.0,,
37,2090941100000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3182415300000000.0,3183731200000000.0,3183731200000000.0,8893339700000000.0,3182415300000000.0,8905333000000000.0,2090941100000000.0,5814487000000000.0,2080609300000000.0,5822155000000000.0,2080609300000000.0,5822155000000000.0,3184378000000000.0,3126799500000000.0,8829456300000000.0,,
38,2111850500000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3214238400000000.0,3215568700000000.0,3215568200000000.0,8893339700000000.0,3214238400000000.0,8905333000000000.0,2111850500000000.0,5814487000000000.0,2101414800000000.0,5822155000000000.0,2101414800000000.0,5822155000000000.0,3216293800000000.0,3153615200000000.0,8824345300000000.0,,
39,2132969200000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3246380800000000.0,3247664200000000.0,3247664200000000.0,8893339700000000.0,3246380800000000.0,8905333000000000.0,2132969200000000.0,5814487000000000.0,2122428600000000.0,5822155000000000.0,2122428600000000.0,5822155000000000.0,3248382800000000.0,3185410800000000.0,8822419000000000.0,,
40,2154298300000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3278845400000000.0,3280171000000000.0,3280171000000000.0,8893339700000000.0,3278845400000000.0,8905333000000000.0,2154298300000000.0,5814487000000000.0,2143653100000000.0,5822155000000000.0,2143653100000000.0,5822155000000000.0,3280826000000000.0,3218838800000000.0,8834862000000000.0,,
41,2175841600000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3311633700000000.0,3313003600000000.0,3313003800000000.0,8893339700000000.0,3311633700000000.0,8905333000000000.0,2175841600000000.0,5814487000000000.0,2165089900000000.0,5822155000000000.0,2165089900000000.0,5822155000000000.0,3313709300000000.0,3251483800000000.0,8826922000000000.0,,
42,2197600000000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3344750600000000.0,3346133600000000.0,3346133600000000.0,8893339700000000.0,3344750600000000.0,8905333000000000.0,2197600000000000.0,5814487000000000.0,2186740900000000.0,5822155000000000.0,2186740900000000.0,5822155000000000.0,3346862700000000.0,3284566300000000.0,8827826000000000.0,,
43,2219575900000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3378198700000000.0,3379532600000000.0,3379533000000000.0,8893339700000000.0,3378198700000000.0,8905333000000000.0,2219575900000000.0,5814487000000000.0,2208608700000000.0,5822155000000000.0,2208608700000000.0,5822155000000000.0,3380307000000000.0,3315835300000000.0,8835291000000000.0,,
44,2241771600000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3411981000000000.0,3413359500000000.0,3413359000000000.0,8893339700000000.0,3411981000000000.0,8905333000000000.0,2241771600000000.0,5814487000000000.0,2230695300000000.0,5822155000000000.0,2230695300000000.0,5822155000000000.0,3414103000000000.0,3350604700000000.0,8834417000000000.0,,
45,2264189200000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3446099200000000.0,3447524300000000.0,3447524300000000.0,8893339700000000.0,3446099200000000.0,8905333000000000.0,2264189200000000.0,5814487000000000.0,2253001000000000.0,5822155000000000.0,2253001000000000.0,5822155000000000.0,3448304000000000.0,3385310000000000.0,8826450400000000.0,,
46,2286831200000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3480561800000000.0,3481999800000000.0,3482000000000000.0,8893339700000000.0,3480561800000000.0,8905333000000000.0,2286831200000000.0,5814487000000000.0,2275532200000000.0,5822155000000000.0,2275532200000000.0,5822155000000000.0,3482882400000000.0,3409015400000000.0,8836628400000000.0,,
47,2309699700000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3515366600000000.0,3516755000000000.0,3516755000000000.0,8893339700000000.0,3515366600000000.0,8905333000000000.0,2309699700000000.0,5814487000000000.0,2298287200000000.0,5822155000000000.0,2298287200000000.0,5822155000000000.0,3517706800000000.0,3442888700000000.0,8841528000000000.0,,
48,2332796700000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3550519800000000.0,3551955400000000.0,3551954900000000.0,8893339700000000.0,3550519800000000.0,8905333000000000.0,2332796700000000.0,5814487000000000.0,2321269600000000.0,5822155000000000.0,2321269600000000.0,5822155000000000.0,3553037200000000.0,3488464500000000.0,8820774600000000.0,,
49,2356124600000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3586025200000000.0,3587507800000000.0,3587507800000000.0,8893339700000000.0,3586025200000000.0,8905333000000000.0,2356124600000000.0,5814487000000000.0,2344482800000000.0,5822155000000000.0,2344482800000000.0,5822155000000000.0,3588422400000000.0,3531379800000000.0,8827128500000000.0,,
50,2379686000000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3621886000000000.0,3623383400000000.0,3623383400000000.0,8893339700000000.0,3621886000000000.0,8905333000000000.0,2379686000000000.0,5814487000000000.0,2367927700000000.0,5822155000000000.0,2367927700000000.0,5822155000000000.0,3624324300000000.0,3563247400000000.0,8828520000000000.0,,
51,2403482500000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3658106300000000.0,3659616800000000.0,3659617000000000.0,8893339700000000.0,3658106300000000.0,8905333000000000.0,2403482500000000.0,5814487000000000.0,2391607700000000.0,5822155000000000.0,2391607700000000.0,5822155000000000.0,3660722800000000.0,3583798800000000.0,8836944600000000.0,,
52,2427517400000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3694686300000000.0,3696282000000000.0,3696282000000000.0,8893339700000000.0,3694686300000000.0,8905333000000000.0,2427517400000000.0,5814487000000000.0,2415522600000000.0,5822155000000000.0,2415522600000000.0,5822155000000000.0,3697397000000000.0,3620154700000000.0,8834565000000000.0,,
53,2451792800000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3731632700000000.0,3733278700000000.0,3733278700000000.0,8893339700000000.0,3731632700000000.0,8905333000000000.0,2451792800000000.0,5814487000000000.0,2439678000000000.0,5822155000000000.0,2439678000000000.0,5822155000000000.0,3734298200000000.0,3669341200000000.0,8831659000000000.0,,
